year,songName,songURI,artistName,artistURI,albumName,albumURI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,mode,key,time_signature,popularity
1980,Don't Fall In Love With A Dreamer,spotify:track:0YgmjGr4XDahHhiVlX2Gya,Kenny Rogers;Kim Carnes,"spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,spotify:artist:5PN2aHIvLEM98XIorsPMhE",A Love Song Collection,spotify:album:0AtWFXOdX6hnMIXRfpYoyS,0.574,0.585,0.465,0,0.142,-6.101,0.0248,80.32,0.307,221827,1,9,4,1
1980,Sailing,spotify:track:6Hu6dzwlvoyg3zBUC8k4BK,Christopher Cross,spotify:artist:695W5F2Ih8dYahLdjVOIoH,Christopher Cross,spotify:album:2m2nl8cBT7bEgIA6LLmgah,0.364,0.469,0.382,0.00025,0.36,-13.203,0.0374,149.994,0.178,256147,1,2,4,68
1980,Longer,spotify:track:6OKrPnWUC8FccKiLVpxQWQ,Dan Fogelberg,spotify:artist:0cA5Tg15TwARIRZeiNT1RO,Portrait: The Music Of Dan Fogelberg From 1972-1997,spotify:album:3xzrUc5WHC8dv9UmiUWxH1,0.908,0.433,0.159,0,0.13,-15.363,0.0295,78.989,0.382,195200,1,0,4,49
1980,Coward Of The County,spotify:track:6w4qRwQf8J9tuprfWVtc4H,Kenny Rogers,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,Daytime Friends: The Very Best Of Kenny Rogers,spotify:album:5Cum33m0MK39JjWvbGO8bQ,0.23,0.648,0.285,7.72e-06,0.196,-18.803,0.0472,91.128,0.685,258307,1,7,4,45
1980,Ladies Night,spotify:track:7IJdhXX43QDoTNQeBRxZHu,Kool & The Gang,spotify:artist:3VNITwohbvU5Wuy5PC6dsI,Kool and the Gang: Greatest Hits,spotify:album:0U0H36ivPJWpsHCDPBy7BJ,0.0911,0.521,0.786,0,0.343,-10.207,0.0813,119.072,0.692,228693,1,10,4,34
1980,Too Hot,spotify:track:0NuYaR56bIWPY01Fwo7hXX,Kool & The Gang,spotify:artist:3VNITwohbvU5Wuy5PC6dsI,The Very Best Of Kool & The Gang,spotify:album:7kHRfUycADjHtr01YFXSOp,0.406,0.718,0.533,1.91e-06,0.121,-11.072,0.121,104.938,0.681,226827,0,7,4,0
1980,Take Your Time (Do It Right),spotify:track:3DIe90xqHuUDtyuapTwCAR,The S.O.S Band,spotify:artist:6pXCjxMOBcWtvULYkFPVW6,S.O.S.,spotify:album:7DhDuhhalViRMA628XKnQS,0.0129,0.863,0.538,0.0188,0.0877,-13.924,0.0545,118.931,0.877,460800,0,4,4,59
1980,No More Tears (Enough Is Enough) (feat. Donna Summer),spotify:track:1wSPm3y4Lk6ABkVxCmwkZx,Barbra Streisand;Donna Summer,"spotify:artist:7jmTilWYlKOuavFfmQAcu6,spotify:artist:2eogQKWWoohI3BSnoG7E2U",The Essential Barbra Streisand,spotify:album:03LP0iA5hWsCVeDFHMV7Z8,0.51,0.634,0.644,7.09e-05,0.32,-8.234,0.0838,135.24,0.286,282493,0,2,4,48
1980,More Love,spotify:track:4SRAf6doXKEuMJxrHB8ILC,Kim Carnes,spotify:artist:5PN2aHIvLEM98XIorsPMhE,Gypsy Honeymoon,spotify:album:5RDGpsmUSnVuJyh13Aryw7,0.368,0.523,0.529,1.49e-06,0.0733,-10.338,0.055,205.315,0.682,218160,0,0,4,38
1980,"Pop Muzik - Nik Launay '79 12""",spotify:track:0FBeVAGy58YREuZK2rpRVm,M;Robin Scott,"spotify:artist:4ZYjW9vY2BTk1er3xomkwI,spotify:artist:5UQO8IQ2YE4eRUrGtHygB8","New York, London, Paris, Munich",spotify:album:5n9dcCzWXYSZqAFCE64Vl0,0.124,0.94,0.727,0.00021,0.0808,-9.982,0.0358,110.796,0.969,296467,1,1,4,49
1980,Brass in Pocket - 2006 Remaster,spotify:track:1QaJWSCk3UMKLotnPCIHh1,Pretenders,spotify:artist:0GByy3DcfbQwDvXGCWmzv9,Pretenders [Reissue],spotify:album:6AFFu3ilmlEDz1I9ZaNOZw,0.368,0.751,0.703,0.00123,0.196,-5.687,0.0287,97.931,0.907,185960,1,9,4,60
1980,Special Lady,spotify:track:570KJytRkVHTIocq1qomWF,"Ray, Goodman & Brown",spotify:artist:58U0OwuIViimy39WEbRbXh,"The Best Of Ray, Goodman & Brown",spotify:album:4KLZQzC46s6j1pvW6hKME6,0.463,0.551,0.447,3.73e-06,0.189,-12.293,0.0401,84.174,0.558,252800,1,9,4,39
1980,Send One Your Love,spotify:track:46NsjxBe9NFVN8vVMuyG4E,Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Number 1's,spotify:album:5x7vXXWapy8cUmdSuwpUy1,0.561,0.625,0.505,5.97e-06,0.08,-12.555,0.0798,72.907,0.531,243400,0,0,4,0
1980,The Second Time Around,spotify:track:6yh8yf1jpPrTMA5cezYpbi,Shalamar,spotify:artist:3REpOYo13YkVj1dFzda12A,Big Fun,spotify:album:0wPapw2OnSgmpg8G1DpZtI,0.0123,0.801,0.388,7.16e-05,0.0924,-12.135,0.0505,112.367,0.577,223293,1,1,4,43
1980,We Don't Talk Anymore - 2001 Remaster,spotify:track:3Ug96zKa29P3vICEEcYajZ,Cliff Richard,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,Rock 'n' Roll Juvenile,spotify:album:2QV9SouhSHFNpls0Dvyoo5,0.0014,0.746,0.703,0.00414,0.066,-7.853,0.0291,111.569,0.733,257160,1,0,4,55
1980,Stomp! - Single Version,spotify:track:3EG65y2LtxWjfydabHdItb,The Brothers Johnson,spotify:artist:6h3rSZ8VLK7a5vXjEmhfuD,Strawberry Letter 23/The Very Best Of The Brothers Johnson,spotify:album:4DUmxqvkQn3UJgDLjlYsyX,0.154,0.859,0.782,0.0297,0.0693,-8.344,0.0369,119.518,0.931,247133,1,10,4,60
1980,Heartache Tonight - 2013 Remaster,spotify:track:2bzgKuK3pVez40qUvo8sYr,Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),spotify:album:1sW1HxI9VppbiXqgFQHVCP,0.0778,0.81,0.511,0.000226,0.0714,-6.454,0.0409,113.153,0.858,265678,1,0,4,59
1980,Tired of Toein' the Line,spotify:track:5Huuwj6mEuAtyrH5bg6mqM,Rocky Burnette,spotify:artist:6JGUkLiRAWMNYaHdUCIUvC,Tired of Toein' the Line,spotify:album:6zsKiAfWVG6SiUeK4akAlR,0.0364,0.647,0.694,0,0.0776,-7.365,0.0284,121.975,0.694,193560,1,7,4,2
1980,Better Love Next Time,spotify:track:2RwLs2dPoY8Tt1FumMvimx,Dr. Hook,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,Dr. Hook - The Best Of,spotify:album:7duyaPactGiBSLDpyx2moF,0.418,0.76,0.66,0,0.0381,-10.675,0.0543,102.92,0.885,180267,1,9,4,35
1980,Him,spotify:track:5rMthFHPxRDi4Uxg06iK6H,Rupert Holmes,spotify:artist:0TqIPD4IS1w4e30R38B3vj,Partners In Crime,spotify:album:163iYwl7Kdm9ayTnD4VyfN,0.339,0.718,0.436,0,0.0504,-13.524,0.032,109.437,0.962,246293,1,4,4,44
1980,Against The Wind,spotify:track:1SWmFiFSIBoDbQJjNKC7SR,Bob Seger,spotify:artist:485uL27bPomh29R4JmQehQ,Against The Wind,spotify:album:2Go2GZ8qMznHdAoLO1cG4W,0.28,0.674,0.771,0.0318,0.133,-5.612,0.0246,109.618,0.718,333720,1,7,4,62
1980,On The Radio,spotify:track:2uhDYqEUHLHnaXrtFpoN5s,Donna Summer,spotify:artist:2eogQKWWoohI3BSnoG7E2U,On The Radio: Greatest Hits Volumes I & II,spotify:album:2SwnDwShj5gYL5dhDNoQun,0.0993,0.734,0.448,4.3e-06,0.379,-13.904,0.0342,127.464,0.654,241507,0,4,4,3
1980,Emotional Rescue - Remastered 2009,spotify:track:5IATbFZds3cbOx8YxuMuko,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Emotional Rescue (2009 Re-Mastered),spotify:album:5mEjFOLcBs94wSchOtMCTB,0.111,0.678,0.621,0.0973,0.0394,-5.478,0.0623,113.389,0.776,339400,1,5,4,56
1980,Rise,spotify:track:7znZstuIvZjldNIO1E11U4,Herb Alpert,spotify:artist:1PqdKx88nAgPolRy079lMl,Rise,spotify:album:0UP3rWITqj74OAVCHP5034,0.133,0.814,0.454,0.839,0.0863,-10.802,0.0413,99.265,0.903,457400,1,10,4,50
1980,All Out of Love,spotify:track:6Nq8YtPAHuL1outooeiFde,Air Supply,spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW,Ultimate Air Supply,spotify:album:5PXeBHFjvr8EykHfFxJMje,0.291,0.503,0.47,0,0.396,-8.006,0.0257,108.486,0.334,241373,1,0,4,64
1980,Cool Change,spotify:track:4TFo8kO1KlcgondsVKPuks,Little River Band,spotify:artist:6clbbhnIqpHnqxwtOWcilg,Greatest Hits,spotify:album:5OajcRNtdKugFqYgIsEkRY,0.436,0.38,0.389,0,0.0685,-10.467,0.0272,131.38,0.207,305893,1,9,4,41
1980,You're Only Lonely,spotify:track:0qzEkwri1hE0rgxVqdOBAf,JD Souther,spotify:artist:0I7UnRLIdCD310ZBgeuqh5,You're Only Lonely,spotify:album:1JoT6VQQ8H5CUtPLEYw7o0,0.263,0.591,0.514,7.8e-06,0.0797,-10.183,0.0256,108.975,0.658,228000,1,9,4,45
